StudentID,StudentName,Campus,Set,Email,Instructor,InstructorOffice,Lab1_Prepared,Lab1_CheckIn,Lab1_Submitted,Lab1_SelfScore,Lab1_InstructorScore,Lab1_Notes,Lab2_Prepared,Lab2_CheckIn,Lab2_Submitted,Lab2_SelfScore,Lab2_InstructorScore,Lab2_Notes,Lab3_Prepared,Lab3_CheckIn,Lab3_Submitted,Lab3_SelfScore,Lab3_InstructorScore,Lab3_Notes,Lab4_Prepared,Lab4_CheckIn,Lab4_Submitted,Lab4_SelfScore,Lab4_InstructorScore,Lab4_Notes,Avg_AttendancePct,Avg_SelfScore,Avg_InstructorScore,Preparedness_Rate
1001,Ava Chen,Burnaby,A,ava.chen@bcit.ca,M. Khezrzadeh,SW1-120,Not ready,On time,Yes,5,9,,Partial,On time,Yes,7,9,Clarify PK choice,Ready,On time,Yes,5,7,,Ready,On time,Yes,5,7,,100.0,5.5,8.0,50%
1002,Liam Patel,Burnaby,D,liam.patel@bcit.ca,P. Nguyen,SW1-121,Ready,On time,Yes,8,7,,Ready,On time,Yes,7,6,,Ready,On time,Yes,7,8,,Ready,On time,Yes,8,8,,100.0,7.5,7.2,100%
1003,Noah Kim,Burnaby,A,noah.kim@bcit.ca,M. Khezrzadeh,SW1-120,Not ready,Late,Yes,6,7,Late by 10 min,Partial,On time,Yes,8,8,Clarify PK choice,Partial,On time,Yes,9,7,,Ready,Late,Yes,8,8,Clarify PK choice,75.0,7.8,7.5,25%
1004,Emma Singh,Burnaby,C,emma.singh@bcit.ca,P. Nguyen,SW1-121,Not ready,On time,Yes,7,7,Clarify PK choice,Ready,On time,Yes,7,7,,Ready,On time,Yes,8,6,Late by 10 min,Not ready,On time,Yes,10,7,,100.0,8.0,6.8,50%
1005,Olivia Park,Burnaby,B,olivia.park@bcit.ca,M. Khezrzadeh,SW1-120,Ready,On time,Yes,5,8,,Ready,On time,Yes,7,5,Clarify PK choice,Ready,Absent,Yes,6,6,,Ready,On time,Yes,8,6,,75.0,6.5,6.2,100%
2001,Maya Lopez,Downtown,F,maya.lopez@bcit.ca,R. Chen,DTC-612,Ready,On time,Yes,10,7,,Ready,On time,No,9,8,Late by 10 min,Ready,On time,Yes,8,6,,Not ready,On time,Yes,7,8,Missing ERD export,100.0,8.5,7.2,75%
2002,Ethan Zhao,Downtown,E,ethan.zhao@bcit.ca,T. Morgan,DTC-610,Ready,On time,Yes,8,7,,Partial,Late,Yes,5,5,Excellent write-up,Ready,On time,Yes,7,6,,Ready,On time,Yes,9,7,Missing ERD export,87.5,7.2,6.2,75%
2003,Isabella Rossi,Downtown,E,isabella.rossi@bcit.ca,T. Morgan,DTC-610,Ready,On time,Yes,7,10,,Partial,On time,Yes,8,6,,Ready,On time,Yes,7,6,Excellent write-up,Partial,On time,No,5,9,,100.0,6.8,7.8,50%
2004,Lucas Wang,Downtown,F,lucas.wang@bcit.ca,R. Chen,DTC-612,Not ready,On time,Yes,7,7,Excellent write-up,Ready,Late,Yes,8,8,,Partial,Absent,Yes,8,5,,Ready,On time,No,8,9,,62.5,7.8,7.2,50%
2005,Sophia Nguyen,Downtown,F,sophia.nguyen@bcit.ca,R. Chen,DTC-612,Partial,On time,Yes,8,8,Late by 10 min,Ready,On time,Yes,8,7,,Not ready,On time,Yes,7,7,,Ready,On time,Yes,9,8,,100.0,8.0,7.5,50%
2006,James Lee,Downtown,E,james.lee@bcit.ca,T. Morgan,DTC-610,Ready,On time,Yes,9,5,Excellent write-up,Partial,On time,Yes,5,8,,Not ready,On time,Yes,9,8,,Ready,Absent,Yes,7,7,,75.0,7.5,7.0,50%
2007,Mila Das,Downtown,E,mila.das@bcit.ca,T. Morgan,DTC-610,Ready,On time,Yes,10,8,,Partial,Late,Yes,6,7,,Ready,Late,Yes,7,7,,Partial,On time,Yes,7,6,Missing ERD export,75.0,7.5,7.0,50%
